Name,Estado,Cidade,Segmento,Público Alvo,Modelo de Receita,Ano de Fundação,Tamanho,Mais Informação,Momento
Mundo Erótico,SP,SOROCABA,Outros,B2B2C,Marketplace,2018,6-10,sbase.me/s/mundo-erotico,Tração
Monitoragua,SP,TREMEMBÉ,Agronegócio,B2C,Outros,2018,1-5,sbase.me/s/monitoragua,Ideação
JobSet BR,SP,SÃO JOSÉ DO RIO PRETO,Meio Ambiente,B2C,SaaS,2018,1-5,sbase.me/s/jobset-br,Ideação
Minds,SP,SÃO PAULO,Advertising,B2B2C,Outros,2009,6-10,sbase.me/s/minds,Tração
ID-Subsea,SP,SÃO JOSÉ DOS CAMPOS,Hardware,B2B,Hardware,2018,6-10,sbase.me/s/id-subsea,Operação
Tripbike,SP,MOGI DAS CRUZES,Eventos e Turismo,P2P,Marketplace,2018,6-10,sbase.me/s/tripbike,Tração
Kar4kids,SP,MOGI DAS CRUZES,Logística e Mobilidade Urbana,B2C,Marketplace,2018,6-10,sbase.me/s/kar4kids,Operação
Shielder Tecnologia,SP,SÃO CARLOS,Segurança e Defesa,B2B,SaaS,2016,6-10,sbase.me/s/shielder-tecnologia,Tração
Veduca,SP,SÃO PAULO,Educação,B2B,Marketplace,2012,21-50,sbase.me/s/veduca,Tração
Pluricell Biotech,SP,SÃO PAULO,Saúde e Bem-estar,B2B,Outros,2012,6-10,sbase.me/s/pluricell-biotech,Tração
GlooPay,SP,SÃO PAULO,Finanças,B2B2C,Marketplace,2018,11-20,sbase.me/s/gloopay,Operação
AWG Motors,SP,SÃO PAULO,Automobilismo,B2C,Consumer,2019,1-5,sbase.me/s/awg-motors,Ideação
decision blueprint,SP,SÃO PAULO,Gestão,B2C,SaaS,2018,6-10,sbase.me/s/decision-blueprint,Operação
Upik,SP,SÃO PAULO,Serviços Profissionais,B2B2C,Marketplace,2013,6-10,sbase.me/s/upik,Tração
CoteBiz,SP,SÃO PAULO,Varejo / Atacado,B2B,SaaS,2018,6-10,sbase.me/s/cotebiz,Operação
DeOnibus,SP,SÃO PAULO,Logística e Mobilidade Urbana,B2C,SaaS,2017,6-10,sbase.me/s/deonibus,Tração
TurboMKT - Plataforma de Negócios Online,SP,SÃO BERNARDO DO CAMPO,Vendas e Marketing,B2B2C,SaaS,2017,6-10,sbase.me/s/turbomkt-plataforma-de-negocios-online,Tração
xGB,SP,SÃO PAULO,Desenvolvimento de Software,B2B,SaaS,2016,6-10,sbase.me/s/xgb,Tração
Vending Tudo,SP,SÃO PAULO,Vendas e Marketing,B2B2C,Outros,2016,6-10,sbase.me/s/vending-tudo,Tração
Firgun,SP,SÃO PAULO,Finanças,P2P,Marketplace,2017,6-10,sbase.me/s/firgun,Operação
Delta Cars,SP,SÃO PAULO,Automobilismo,B2B2C,SaaS,2018,1-5,sbase.me/s/delta-cars,Ideação
Everlog,SP,VINHEDO,Logística e Mobilidade Urbana,B2B,SaaS,2015,21-50,sbase.me/s/everlog,Tração
DYNAMOTECH,SP,SÃO JOSÉ DOS CAMPOS,Vendas e Marketing,B2B,SaaS,2019,6-10,sbase.me/s/dynamotech,Operação
VENCER ASSESSORIA EMPRESARIAL,SP,SOROCABA,Serviços Profissionais,B2B,Outros,2010,6-10,sbase.me/s/vencer-assessoria-empresarial,Operação
runfitness,SP,GUARULHOS,Saúde e Bem-estar,B2C,Outros,2016,6-10,sbase.me/s/runfitness,Tração
